date,name,省份,新增疑似,累计疑似,新增确诊,累计确诊,新增死亡,累计死亡
2020-01-10,湖北省,湖北省,0,0,0,41,0,1
2020-01-11,湖北省,湖北省,0,0,0,41,0,1
2020-01-12,湖北省,湖北省,0,0,0,41,0,1
2020-01-13,湖北省,湖北省,0,0,0,41,0,1
2020-01-14,湖北省,湖北省,0,0,0,41,0,1
2020-01-16,湖北省,湖北省,0,0,4,45,1,2
2020-01-17,湖北省,湖北省,0,0,17,62,0,2
2020-01-18,湖北省,湖北省,0,0,59,121,1,3
2020-01-19,湖北省,湖北省,0,0,77,198,1,4
2020-01-20,北京市,北京市,0,0,3,5,0,0
2020-01-20,上海市,上海市,7,7,2,2,0,0
2020-01-20,湖北省,湖北省,0,11,72,270,2,6
2020-01-20,广东省,广东省,4,7,0,14,0,0
2020-01-21,北京市,北京市,0,0,5,10,0,0
2020-01-21,天津市,天津市,0,0,2,2,0,0
2020-01-21,上海市,上海市,10,10,7,9,0,0
2020-01-21,浙江省,浙江省,10,10,5,5,0,0
2020-01-21,江西省,江西省,0,0,2,2,0,0
2020-01-21,山东省,山东省,0,0,1,1,0,0
2020-01-21,河南省,河南省,0,0,1,1,0,0
2020-01-21,湖北省,湖北省,0,0,105,375,3,9
2020-01-21,湖南省,湖南省,0,0,1,1,0,0
2020-01-21,广东省,广东省,1,1,12,26,0,0
2020-01-21,重庆市,重庆市,0,0,5,5,0,0
2020-01-21,四川省,四川省,2,5,2,2,0,0
2020-01-21,云南省,云南省,0,0,1,1,0,0
2020-01-21,台湾省,台湾省,0,0,1,1,0,0
2020-01-21,香港特别行政区,香港特别行政区,0,0,1,1,0,0
2020-01-21,澳门特别行政区,澳门特别行政区,0,0,1,1,0,0
2020-01-22,北京市,北京市,0,0,4,14,0,0
2020-01-22,天津市,天津市,0,0,2,4,0,0
2020-01-22,河北省,河北省,0,0,1,1,0,0
2020-01-22,山西省,山西省,1,1,1,1,0,0
2020-01-22,辽宁省,辽宁省,0,0,2,2,0,0
2020-01-22,吉林省,吉林省,0,0,1,1,0,0
2020-01-22,黑龙江省,黑龙江省,0,0,1,1,0,0
2020-01-22,上海市,上海市,16,16,7,16,0,0
2020-01-22,江苏省,江苏省,0,0,1,1,0,0
2020-01-22,浙江省,浙江省,26,38,5,10,0,0
2020-01-22,安徽省,安徽省,6,8,1,1,0,0
2020-01-22,福建省,福建省,1,1,1,1,0,0
2020-01-22,江西省,江西省,5,5,1,3,0,0
2020-01-22,山东省,山东省,5,5,1,2,0,0
