date,country,province,city,confirmed,suspected,cured,dead
2019-12-01,中国,湖北省,武汉市,1,0.0,0,0
2019-12-02,中国,湖北省,武汉市,1,0.0,0,0
2019-12-03,中国,湖北省,武汉市,1,0.0,0,0
2019-12-04,中国,湖北省,武汉市,1,0.0,0,0
2019-12-05,中国,湖北省,武汉市,1,0.0,0,0
2019-12-06,中国,湖北省,武汉市,1,0.0,0,0
2019-12-07,中国,湖北省,武汉市,1,0.0,0,0
2019-12-08,中国,湖北省,武汉市,1,0.0,0,0
2019-12-09,中国,湖北省,武汉市,1,0.0,0,0
2019-12-10,中国,湖北省,武汉市,1,0.0,0,0
2019-12-11,中国,湖北省,武汉市,4,0.0,0,0
2019-12-12,中国,湖北省,武汉市,4,0.0,0,0
2019-12-13,中国,湖北省,武汉市,4,0.0,0,0
2019-12-14,中国,湖北省,武汉市,4,0.0,0,0
2019-12-15,中国,湖北省,武汉市,6,0.0,0,0
2019-12-16,中国,湖北省,武汉市,6,0.0,0,0
2019-12-17,中国,湖北省,武汉市,7,0.0,0,0
2019-12-18,中国,湖北省,武汉市,8,0.0,0,0
2019-12-19,中国,湖北省,武汉市,9,0.0,0,0
2019-12-20,中国,湖北省,武汉市,14,0.0,0,0
2019-12-21,中国,湖北省,武汉市,18,0.0,0,0
2019-12-22,中国,湖北省,武汉市,21,0.0,0,0
2019-12-23,中国,湖北省,武汉市,29,0.0,0,0
2019-12-24,中国,湖北省,武汉市,30,0.0,0,0
2019-12-25,中国,湖北省,武汉市,33,0.0,0,0
2019-12-26,中国,湖北省,武汉市,35,0.0,0,0
2019-12-27,中国,湖北省,武汉市,37,0.0,0,0
2019-12-28,中国,湖北省,武汉市,37,0.0,0,0
2019-12-29,中国,湖北省,武汉市,37,0.0,0,0
2019-12-30,中国,湖北省,武汉市,37,0.0,0,0
2019-12-31,中国,湖北省,武汉市,40,0.0,0,0
2020-01-01,中国,湖北省,武汉市,43,0.0,0,0
2020-01-02,中国,湖北省,武汉市,44,0.0,0,0
2020-01-03,中国,湖北省,武汉市,44,0.0,0,0
2020-01-04,中国,湖北省,武汉市,44,0.0,0,0
2020-01-05,中国,湖北省,武汉市,44,0.0,0,0
2020-01-06,中国,湖北省,武汉市,44,0.0,0,0
2020-01-07,中国,湖北省,武汉市,44,0.0,0,0
2020-01-08,中国,湖北省,武汉市,44,0.0,0,0
2020-01-09,中国,湖北省,武汉市,44,0.0,0,0
2020-01-10,中国,湖北省,武汉市,44,0.0,2,1
2020-01-11,中国,湖北省,武汉市,44,0.0,6,1
2020-01-12,中国,湖北省,武汉市,44,0.0,7,1
2020-01-13,中国,湖北省,武汉市,44,0.0,7,1
2020-01-14,中国,湖北省,武汉市,44,0.0,7,1
2020-01-15,中国,湖北省,武汉市,44,0.0,12,2
2020-01-16,中国,湖北省,武汉市,45,0.0,15,2
2020-01-17,中国,湖北省,武汉市,62,0.0,19,2
2020-01-18,中国,湖北省,武汉市,121,0.0,24,3
2020-01-19,中国,广东省,深圳市,1,0.0,0,0
2020-01-19,中国,湖北省,武汉市,198,0.0,25,3
2020-01-20,中国,上海,上海,1,0.0,0,0
2020-01-20,中国,上海市,外地来沪,1,0.0,0,0
2020-01-20,中国,北京,北京,5,0.0,0,0
2020-01-20,中国,广东,深圳,9,0.0,0,0
2020-01-20,中国,广东,珠海,3,0.0,0,0
2020-01-20,中国,广东,湛江,1,0.0,0,0
2020-01-20,中国,广东,惠州,1,0.0,0,0
2020-01-20,中国,湖北,武汉,258,0.0,25,6
2020-01-20,中国,湖北,黄冈,12,0.0,0,0
2020-01-21,中国,四川省,成都市,1,3.0,0,0
2020-01-21,中国,四川省,绵阳市,0,2.0,0,0
2020-01-21,中国,安徽省,合肥市,0,1.0,0,0
2020-01-21,中国,贵州省,贵阳市,0,1.0,0,0
2020-01-21,中国,黑龙江省,牡丹江市,0,1.0,0,0
2020-01-21,中国,北京市,武汉来京,1,0.0,0,0
2020-01-21,中国,北京市,西城区,1,0.0,0,0
2020-01-21,中国,北京市,丰台区,1,0.0,0,0
2020-01-21,中国,北京市,海淀区,2,0.0,0,0
2020-01-21,中国,北京市,通州区,1,0.0,0,0
2020-01-21,中国,北京市,昌平区,2,0.0,0,0
2020-01-21,中国,北京市,大兴区,2,0.0,0,0
2020-01-21,中国,四川省,广安市,1,0.0,0,0
2020-01-21,中国,山东省,青岛市,1,0.0,0,0
2020-01-21,中国,广东省,广州市,2,0.0,0,0
2020-01-21,中国,广东省,韶关市,2,0.0,0,0
2020-01-21,中国,广东省,深圳市,14,0.0,0,0
2020-01-21,中国,广东省,珠海市,4,0.0,0,0
2020-01-21,中国,广东省,佛山市,1,0.0,0,0
2020-01-21,中国,广东省,湛江市,2,0.0,0,0
2020-01-21,中国,广东省,惠州市,1,0.0,0,0
2020-01-21,中国,江西省,萍乡市,1,0.0,0,0
2020-01-21,中国,江西省,抚州市,1,0.0,0,0
2020-01-21,中国,河南省,郑州市,1,0.0,0,0
2020-01-21,中国,浙江省,杭州市,1,0.0,0,0
2020-01-21,中国,浙江省,温州市,2,0.0,0,0
2020-01-21,中国,浙江省,舟山市,1,0.0,0,0
2020-01-21,中国,浙江省,台州市,1,0.0,0,0
2020-01-21,中国,湖北,武汉,365,0.0,25,9
2020-01-21,中国,湖南省,长沙市,1,0.0,0,0
2020-01-21,中国,重庆市,万州区,2,0.0,0,0
2020-01-21,中国,重庆市,长寿区,1,0.0,0,0
2020-01-21,中国,重庆市,巫山县,2,0.0,0,0
2020-01-22,中国,海南省,海口市,1,10.0,0,0
2020-01-22,中国,海南省,三亚市,2,8.0,0,0
2020-01-22,中国,安徽省,合肥市,1,3.0,0,0
2020-01-22,中国,海南省,儋州市,0,3.0,0,0
2020-01-22,中国,四川省,成都市,2,2.0,0,0
2020-01-22,中国,海南省,五指山市,0,2.0,0,0
2020-01-22,中国,海南省,临高县,1,2.0,0,0
2020-01-22,中国,海南省,昌江黎族自治县,0,2.0,0,0
2020-01-22,中国,安徽省,六安市,0,1.0,0,0
2020-01-22,中国,广西壮族自治区,柳州市,0,1.0,0,0
2020-01-22,中国,海南省,琼海市,0,1.0,0,0
2020-01-22,中国,海南省,文昌市,0,1.0,0,0
2020-01-22,中国,海南省,万宁市,1,1.0,0,0
2020-01-22,中国,海南省,东方市,0,1.0,0,0
2020-01-22,中国,海南省,琼中黎族苗族自治县,0,1.0,0,0
2020-01-22,中国,北京市,武汉来京,2,0.0,0,0
2020-01-22,中国,北京市,西城区,2,0.0,0,0
2020-01-22,中国,北京市,朝阳区,1,0.0,0,0
2020-01-22,中国,北京市,丰台区,1,0.0,0,0
2020-01-22,中国,北京市,石景山区,1,0.0,0,0
2020-01-22,中国,北京市,海淀区,2,0.0,0,0
2020-01-22,中国,北京市,通州区,1,0.0,0,0
2020-01-22,中国,北京市,昌平区,2,0.0,0,0
2020-01-22,中国,北京市,大兴区,2,0.0,0,0
2020-01-22,中国,吉林省,长春市,1,0.0,0,0
2020-01-22,中国,四川省,绵阳市,2,0.0,0,0
2020-01-22,中国,四川省,广安市,1,0.0,0,0
2020-01-22,中国,宁夏回族自治区,银川市,1,0.0,0,0
2020-01-22,中国,山东省,青岛市,3,0.0,0,0
2020-01-22,中国,山东省,威海市,1,0.0,0,0
2020-01-22,中国,山东省,临沂市,2,0.0,0,0
2020-01-22,中国,山西省,太原市,1,0.0,0,0
2020-01-22,中国,广东省,广州市,5,0.0,0,0
2020-01-22,中国,广东省,韶关市,2,0.0,0,0
2020-01-22,中国,广东省,深圳市,15,0.0,0,0
2020-01-22,中国,广东省,珠海市,4,0.0,0,0
2020-01-22,中国,广东省,佛山市,1,0.0,0,0
2020-01-22,中国,广东省,湛江市,2,0.0,0,0
2020-01-22,中国,广东省,肇庆市,1,0.0,0,0
2020-01-22,中国,广东省,惠州市,1,0.0,0,0
2020-01-22,中国,广东省,中山市,1,0.0,0,0
2020-01-22,中国,广西壮族自治区,梧州市,1,0.0,0,0
2020-01-22,中国,广西壮族自治区,北海市,1,0.0,0,0
2020-01-22,中国,江苏省,苏州市,1,0.0,0,0
2020-01-22,中国,江西省,南昌市,1,0.0,0,0
2020-01-22,中国,江西省,萍乡市,1,0.0,0,0
2020-01-22,中国,江西省,抚州市,1,0.0,0,0
2020-01-22,中国,河北省,石家庄市,1,0.0,0,0
2020-01-22,中国,河南省,郑州市,2,0.0,0,0
2020-01-22,中国,河南省,巩义市,1,0.0,0,0
2020-01-22,中国,河南省,洛阳市,1,0.0,0,0
2020-01-22,中国,河南省,三门峡市,1,0.0,0,0
2020-01-22,中国,浙江省,杭州市,1,0.0,0,0
2020-01-22,中国,浙江省,宁波市,3,0.0,0,0
2020-01-22,中国,浙江省,温州市,4,0.0,0,0
2020-01-22,中国,浙江省,舟山市,1,0.0,0,0
2020-01-22,中国,浙江省,台州市,1,0.0,0,0
2020-01-22,中国,湖北,武汉,425,0.0,28,17
2020-01-22,中国,湖北,黄冈,12,0.0,0,0
2020-01-22,中国,湖北,荆州,6,0.0,0,0
2020-01-22,中国,湖北,荆门,1,0.0,0,0
2020-01-22,中国,湖南省,长沙市,1,0.0,0,0
2020-01-22,中国,湖南省,怀化市,3,0.0,0,0
2020-01-22,中国,福建省,福州市,1,0.0,0,0
2020-01-22,中国,贵州省,贵阳市,1,0.0,0,0
2020-01-22,中国,贵州省,铜仁市,1,0.0,0,0
2020-01-22,中国,贵州省,黔南布依族苗族自治州,1,0.0,0,0
2020-01-22,中国,辽宁省,沈阳市,1,0.0,0,0
2020-01-22,中国,辽宁省,大连市,1,0.0,0,0
2020-01-22,中国,重庆市,万州区,2,0.0,0,0
2020-01-22,中国,重庆市,涪陵区,1,0.0,0,0
2020-01-22,中国,重庆市,长寿区,1,0.0,0,0
2020-01-22,中国,重庆市,永川区,2,0.0,0,0
