,date,country,province,city,confirmed,suspected,cured,dead
0,2019-12-01,中国,,,1,0,0,0
1,2019-12-02,中国,,,1,0,0,0
2,2019-12-03,中国,,,1,0,0,0
3,2019-12-04,中国,,,1,0,0,0
4,2019-12-05,中国,,,1,0,0,0
5,2019-12-06,中国,,,1,0,0,0
6,2019-12-07,中国,,,1,0,0,0
7,2019-12-08,中国,,,1,0,0,0
8,2019-12-09,中国,,,1,0,0,0
9,2019-12-10,中国,,,1,0,0,0
10,2019-12-11,中国,,,4,0,0,0
11,2019-12-12,中国,,,4,0,0,0
12,2019-12-13,中国,,,4,0,0,0
13,2019-12-14,中国,,,4,0,0,0
14,2019-12-15,中国,,,6,0,0,0
15,2019-12-16,中国,,,6,0,0,0
16,2019-12-17,中国,,,7,0,0,0
17,2019-12-18,中国,,,8,0,0,0
18,2019-12-19,中国,,,9,0,0,0
19,2019-12-20,中国,,,14,0,0,0
20,2019-12-21,中国,,,18,0,0,0
21,2019-12-22,中国,,,21,0,0,0
22,2019-12-23,中国,,,29,0,0,0
23,2019-12-24,中国,,,30,0,0,0
24,2019-12-25,中国,,,33,0,0,0
25,2019-12-26,中国,,,35,0,0,0
26,2019-12-27,中国,,,37,0,0,0
27,2019-12-28,中国,,,37,0,0,0
28,2019-12-29,中国,,,37,0,0,0
29,2019-12-30,中国,,,37,0,0,0
30,2019-12-31,中国,,,40,0,0,0
31,2020-01-01,中国,,,43,0,0,0
32,2020-01-02,中国,,,44,0,0,0
33,2020-01-03,中国,,,44,0,0,0
34,2020-01-04,中国,,,44,0,0,0
35,2020-01-05,中国,,,44,0,0,0
36,2020-01-06,中国,,,44,0,0,0
37,2020-01-07,中国,,,44,0,0,0
38,2020-01-08,中国,,,44,0,0,0
39,2020-01-09,中国,,,44,0,0,0
40,2020-01-10,中国,,,44,0,2,1
41,2020-01-11,中国,,,44,0,6,1
42,2020-01-12,中国,,,44,0,7,1
43,2020-01-13,中国,,,44,0,7,1
44,2020-01-14,中国,,,44,0,7,1
45,2020-01-15,中国,,,44,0,12,2
46,2020-01-16,中国,,,45,0,15,2
47,2020-01-16,泰国,,,1,0,0,0
48,2020-01-16,日本,,,1,0,1,0
49,2020-01-17,中国,,,62,0,19,2
50,2020-01-17,日本,,,1,0,1,0
51,2020-01-18,中国,,,198,0,24,3
52,2020-01-18,日本,,,1,0,1,0
53,2020-01-19,中国,,,275,0,25,4
54,2020-01-19,日本,,,1,0,1,0
55,2020-01-20,中国,,,291,54,25,6
56,2020-01-20,泰国,,,2,0,0,0
57,2020-01-20,韩国,,,1,0,0,0
58,2020-01-20,日本,,,1,0,1,0
59,2020-01-21,中国,,,440,37,25,9
60,2020-01-21,泰国,,,3,0,0,0
61,2020-01-21,韩国,,,1,0,0,0
62,2020-01-21,日本,,,1,0,1,0
63,2020-01-22,中国,,,571,393,25,17
64,2020-01-22,泰国,,,3,0,0,0
65,2020-01-22,美国,,,1,0,0,0
66,2020-01-22,韩国,,,1,0,0,0
67,2020-01-22,日本,,,1,0,1,0
68,2020-01-23,中国,,,830,1072,34,25
69,2020-01-23,越南,,,2,0,0,0
70,2020-01-23,新加坡,,,1,0,0,0
71,2020-01-23,泰国,,,3,0,2,0
72,2020-01-23,美国,,,1,0,0,0
73,2020-01-23,韩国,,,1,0,0,0
74,2020-01-23,日本,,,1,0,1,0
75,2020-01-24,中国,,,1287,1965,38,41
76,2020-01-24,越南,,,2,0,0,0
77,2020-01-24,新加坡,,,3,0,0,0
78,2020-01-24,泰国,,,4,0,2,0
79,2020-01-24,尼泊尔,,,1,0,0,0
80,2020-01-24,美国,,,2,0,0,0
81,2020-01-24,韩国,,,2,0,0,0
82,2020-01-24,法国,,,2,0,0,0
83,2020-01-24,日本,,,2,0,1,0
84,2020-01-25,中国,,,1975,2684,49,56
85,2020-01-25,越南,,,2,0,0,0
86,2020-01-25,新加坡,,,3,0,0,0
87,2020-01-25,泰国,,,4,0,2,0
88,2020-01-25,尼泊尔,,,1,0,0,0
89,2020-01-25,美国,,,2,0,0,0
90,2020-01-25,马来西亚,,,3,0,0,0
91,2020-01-25,韩国,,,2,0,0,0
92,2020-01-25,法国,,,3,0,0,0
93,2020-01-25,澳大利亚,,,1,0,0,0
94,2020-01-25,日本,,,3,0,1,0
95,2020-01-26,中国,,,2744,5794,51,80
96,2020-01-26,越南,,,2,0,0,0
97,2020-01-26,新加坡,,,4,0,0,0
98,2020-01-26,泰国,,,7,0,0,0
99,2020-01-26,尼泊尔,,,1,0,0,0
100,2020-01-26,美国,,,3,0,0,0
101,2020-01-26,马来西亚,,,3,0,0,0
102,2020-01-26,韩国,,,3,0,0,0
103,2020-01-26,法国,,,3,0,0,0
104,2020-01-26,澳大利亚,,,4,0,0,0
105,2020-01-27,中国,,,4515,6973,60,106
106,2020-01-27,越南,,,2,0,0,0
107,2020-01-27,新加坡,,,4,1,0,0
108,2020-01-27,泰国,,,8,0,2,0
109,2020-01-27,尼泊尔,,,1,0,0,0
110,2020-01-27,美国,,,5,0,0,0
111,2020-01-27,马来西亚,,,4,0,0,0
112,2020-01-27,加拿大,,,1,0,0,0
113,2020-01-27,韩国,,,4,0,0,0
114,2020-01-27,法国,,,3,0,0,0
115,2020-01-27,巴基斯坦,,,0,5,0,0
116,2020-01-27,澳大利亚,,,5,0,0,0
117,2020-01-28,中国,,,5974,9239,103,132
118,2020-01-28,越南,,,2,0,0,0
119,2020-01-28,新加坡,,,7,0,0,0
120,2020-01-28,泰国,,,14,0,2,0
121,2020-01-28,斯里兰卡,,,1,0,0,0
122,2020-01-28,尼泊尔,,,1,0,0,0
123,2020-01-28,美国,,,5,0,0,0
124,2020-01-28,马来西亚,,,4,0,0,0
125,2020-01-28,加拿大,,,2,0,0,0
126,2020-01-28,韩国,,,4,0,0,0
127,2020-01-28,法国,,,3,0,0,0
128,2020-01-28,德国,,,1,0,0,0
129,2020-01-28,澳大利亚,,,5,0,0,0
130,2020-01-28,日本,,,6,0,1,0
131,2020-01-29,中国,,,7711,12167,124,170
132,2020-01-29,越南,,,2,0,0,0
133,2020-01-29,新加坡,,,10,0,0,0
134,2020-01-29,泰国,,,14,0,2,0
135,2020-01-29,斯里兰卡,,,1,0,0,0
136,2020-01-29,尼泊尔,,,1,0,0,0
137,2020-01-29,美国,,,5,0,0,0
138,2020-01-29,马来西亚,,,7,0,0,0
139,2020-01-29,加拿大,,,2,0,0,0
140,2020-01-29,韩国,,,4,0,0,0
141,2020-01-29,法国,,,4,0,0,0
142,2020-01-29,德国,,,4,0,0,0
143,2020-01-29,澳大利亚,,,7,0,0,0
144,2020-01-29,阿联酋,,,4,0,0,0
145,2020-01-30,中国,,,9692,15238,171,213
146,2020-01-30,越南,,,2,0,0,0
147,2020-01-30,印度,,,1,0,0,0
148,2020-01-30,新加坡,,,10,0,0,0
149,2020-01-30,泰国,,,14,0,2,0
150,2020-01-30,斯里兰卡,,,1,0,0,0
151,2020-01-30,尼泊尔,,,1,0,0,0
152,2020-01-30,美国,,,5,0,0,0
153,2020-01-30,马来西亚,,,8,0,0,0
154,2020-01-30,加拿大,,,3,0,0,0
155,2020-01-30,韩国,,,6,0,0,0
156,2020-01-30,芬兰,,,1,0,0,0
157,2020-01-30,菲律宾,,,1,0,0,0
158,2020-01-30,法国,,,5,0,0,0
159,2020-01-30,德国,,,4,0,0,0
160,2020-01-30,澳大利亚,,,8,0,2,0
161,2020-01-30,阿联酋,,,4,0,0,0
162,2020-01-31,中国,,,11791,17988,243,259
163,2020-01-31,越南,,,2,0,0,0
164,2020-01-31,印度,,,1,0,0,0
165,2020-01-31,新加坡,,,10,0,0,0
166,2020-01-31,泰国,,,14,0,2,0
167,2020-01-31,斯里兰卡,,,1,0,0,0
168,2020-01-31,尼泊尔,,,1,0,0,0
169,2020-01-31,美国,,,5,0,0,0
170,2020-01-31,马来西亚,,,8,0,0,0
171,2020-01-31,加拿大,,,3,0,0,0
172,2020-01-31,韩国,,,6,0,0,0
173,2020-01-31,芬兰,,,1,0,0,0
174,2020-01-31,菲律宾,,,1,0,0,0
175,2020-01-31,法国,,,5,0,0,0
176,2020-01-31,德国,,,4,0,0,0
177,2020-01-31,澳大利亚,,,8,0,2,0
