时间,国家,Location,Confirmed,Deaths,Fatality rate
2020-03-21,加拿大,British Columbia,424,10,2.4%
2020-03-21,加拿大,Ontario,377,3,0.8%
2020-03-21,加拿大,Alberta,226,1,0.4%
2020-03-21,加拿大,Quebec,181,5,2.8%
2020-03-21,加拿大,Saskatchewan,44,0,0%
2020-03-21,加拿大, Nova Scotia,21,0,0%
2020-03-21,加拿大,Manitoba,19,0,0%
2020-03-21,加拿大,New Brunswick,17,0,0%
2020-03-21,加拿大,Grand Princess,12,0,0%
2020-03-21,加拿大,Newfoundland and Labrador,6,0,0%
2020-03-21,加拿大,Prince Edward Island,2,0,0%
2020-03-21,加拿大,Northwest Territories,1,0,0%
2020-03-21,加拿大,Diamond Princess,0,1,Infinity%
2020-03-21,美国,New York,12312,75,0.6%
2020-03-21,美国,Washington,1793,94,5.2%
2020-03-21,美国,California,1407,25,1.8%
2020-03-21,美国,New Jersey,1327,16,1.2%
2020-03-21,美国,Michigan,789,6,0.8%
2020-03-21,美国,Florida,763,13,1.7%
2020-03-21,美国,Louisiana,763,20,2.6%
2020-03-21,美国,Illinois,753,6,0.8%
2020-03-21,美国,Georgia,555,20,3.6%
2020-03-21,美国,Texas,541,5,0.9%
2020-03-21,美国,Massachusetts,529,1,0.2%
2020-03-21,美国,Colorado ,475,6,1.3%
2020-03-21,美国,Pennsylvania,399,2,0.5%
2020-03-21,美国,Tennessee,371,1,0.3%
2020-03-21,美国,Wisconsin,282,4,1.4%
2020-03-21,美国,North Carolina,257,0,0%
2020-03-21,美国,Ohio,248,3,1.2%
2020-03-21,美国,Connecticut,223,4,1.8%
2020-03-21,美国,Maryland,193,2,1%
2020-03-21,美国,South Carolina,174,3,1.7%
2020-03-21,美国,Virginia,158,3,1.9%
2020-03-21,美国,Nevada,154,2,1.3%
2020-03-21,美国,Mississippi,140,1,0.7%
2020-03-21,美国,Oregon,137,4,2.9%
2020-03-21,美国,Minnesota,137,1,0.7%
2020-03-21,美国,Utah,136,0,0%
2020-03-21,美国,Alabama,131,0,0%
2020-03-21,美国,Indiana,128,4,3.1%
2020-03-21,美国,Arkansas,122,0,0%
2020-03-21,美国,Arizona,104,1,1%
2020-03-21,美国,"Washington, D.C.",98,1,1%
2020-03-21,美国,Kentucky,87,3,3.4%
2020-03-21,美国,Missouri,81,3,3.7%
2020-03-21,美国,Maine,70,0,0%
2020-03-21,美国,Iowa,69,0,0%
2020-03-21,美国,Rhode Island,66,0,0%
2020-03-21,美国,New Hampshire,65,0,0%
2020-03-21,美国,Kansas,57,2,3.5%
2020-03-21,美国,New Mexico,57,0,0%
2020-03-21,美国,Oklahoma,53,1,1.9%
2020-03-21,美国,Diamond Princess,49,0,0%
2020-03-21,美国,Vermont,49,2,4.1%
2020-03-21,美国,Hawaii,48,0,0%
2020-03-21,美国,Delaware,45,0,0%
2020-03-21,美国,Idaho,42,0,0%
2020-03-21,美国,Nebraska,38,0,0%
2020-03-21,美国,North Dakota,28,0,0%
2020-03-21,美国,Montana,27,0,0%
2020-03-21,美国,Grand Princess,23,1,4.3%
2020-03-21,美国,Wyoming,23,0,0%
2020-03-21,美国,Puerto Rico,21,1,4.8%
2020-03-21,美国,Guam,15,0,0%
2020-03-21,美国,South Dakota,14,1,7.1%
2020-03-21,美国,Alaska,14,0,0%
2020-03-21,美国,West Virginia,12,0,0%
2020-03-21,美国,US Virgin Islands,6,0,0%
2020-03-21,美国,Wuhan Evacuee,3,0,0%
