date,country,countryCode,province,provinceCode,city,cityCode,confirmed,suspected,cured,dead
2019-12-01,中国,CN,湖北省,420000.0,,,1,0,0,0
2019-12-02,中国,CN,湖北省,420000.0,,,1,0,0,0
2019-12-03,中国,CN,湖北省,420000.0,,,1,0,0,0
2019-12-04,中国,CN,湖北省,420000.0,,,1,0,0,0
2019-12-05,中国,CN,湖北省,420000.0,,,1,0,0,0
2019-12-06,中国,CN,湖北省,420000.0,,,1,0,0,0
2019-12-07,中国,CN,湖北省,420000.0,,,1,0,0,0
2019-12-08,中国,CN,湖北省,420000.0,,,1,0,0,0
2019-12-09,中国,CN,湖北省,420000.0,,,1,0,0,0
2019-12-10,中国,CN,湖北省,420000.0,,,1,0,0,0
2019-12-11,中国,CN,湖北省,420000.0,,,4,0,0,0
2019-12-12,中国,CN,湖北省,420000.0,,,4,0,0,0
2019-12-13,中国,CN,湖北省,420000.0,,,4,0,0,0
2019-12-14,中国,CN,湖北省,420000.0,,,4,0,0,0
2019-12-15,中国,CN,湖北省,420000.0,,,6,0,0,0
2019-12-16,中国,CN,湖北省,420000.0,,,6,0,0,0
2019-12-17,中国,CN,湖北省,420000.0,,,7,0,0,0
2019-12-18,中国,CN,湖北省,420000.0,,,8,0,0,0
2019-12-19,中国,CN,湖北省,420000.0,,,9,0,0,0
2019-12-20,中国,CN,湖北省,420000.0,,,14,0,0,0
2019-12-21,中国,CN,湖北省,420000.0,,,18,0,0,0
2019-12-22,中国,CN,湖北省,420000.0,,,21,0,0,0
2019-12-23,中国,CN,湖北省,420000.0,,,29,0,0,0
2019-12-24,中国,CN,湖北省,420000.0,,,30,0,0,0
2019-12-25,中国,CN,湖北省,420000.0,,,33,0,0,0
2019-12-26,中国,CN,湖北省,420000.0,,,35,0,0,0
2019-12-27,中国,CN,湖北省,420000.0,,,37,0,0,0
2019-12-28,中国,CN,湖北省,420000.0,,,37,0,0,0
2019-12-29,中国,CN,湖北省,420000.0,,,37,0,0,0
2019-12-30,中国,CN,湖北省,420000.0,,,37,0,0,0
2019-12-31,中国,CN,湖北省,420000.0,,,40,0,0,0
2020-01-01,中国,CN,湖北省,420000.0,,,43,0,0,0
2020-01-02,中国,CN,湖北省,420000.0,,,44,0,0,0
2020-01-03,中国,CN,湖北省,420000.0,,,41,0,0,0
2020-01-04,中国,CN,湖北省,420000.0,,,41,0,0,0
2020-01-05,中国,CN,湖北省,420000.0,,,41,0,0,0
2020-01-06,中国,CN,湖北省,420000.0,,,41,0,0,0
2020-01-07,中国,CN,湖北省,420000.0,,,41,0,0,0
2020-01-08,中国,CN,湖北省,420000.0,,,41,0,0,0
2020-01-09,中国,CN,湖北省,420000.0,,,41,0,0,0
2020-01-10,中国,CN,湖北省,420000.0,,,41,0,2,1
2020-01-11,中国,CN,湖北省,420000.0,,,41,0,6,1
2020-01-12,中国,CN,湖北省,420000.0,,,41,0,7,1
2020-01-13,中国,CN,湖北省,420000.0,,,41,0,7,1
2020-01-14,中国,CN,湖北省,420000.0,,,41,0,7,1
2020-01-15,中国,CN,湖北省,420000.0,,,41,0,12,2
2020-01-16,中国,CN,湖北省,420000.0,,,45,0,15,2
2020-01-17,中国,CN,湖北省,420000.0,,,62,0,19,2
2020-01-18,中国,CN,湖北省,420000.0,,,121,0,24,3
2020-01-19,中国,CN,湖北省,420000.0,,,198,0,25,3
2020-01-19,中国,CN,广东省,440000.0,,,1,0,0,0
2020-01-20,中国,CN,北京市,110000.0,,,5,0,0,0
2020-01-20,中国,CN,吉林省,220000.0,,,0,1,0,0
2020-01-20,中国,CN,上海市,310000.0,,,1,0,0,0
2020-01-20,中国,CN,浙江省,330000.0,,,0,16,0,0
2020-01-20,中国,CN,安徽省,340000.0,,,0,1,0,0
2020-01-20,中国,CN,江西省,360000.0,,,0,2,0,0
2020-01-20,中国,CN,山东省,370000.0,,,0,1,0,0
2020-01-20,中国,CN,湖北省,420000.0,,,270,0,25,6
2020-01-20,中国,CN,广东省,440000.0,,,14,7,0,0
2020-01-20,中国,CN,广西壮族自治区,450000.0,,,0,1,0,0
2020-01-20,中国,CN,海南省,460000.0,,,0,1,0,0
2020-01-20,中国,CN,四川省,510000.0,,,0,3,0,0
2020-01-20,中国,CN,贵州省,520000.0,,,0,1,0,0
2020-01-20,中国,CN,云南省,530000.0,,,0,1,0,0
2020-01-20,中国,CN,宁夏回族自治区,640000.0,,,0,1,0,0
2020-01-21,中国,CN,北京市,110000.0,,,10,0,0,0
2020-01-21,中国,CN,天津市,120000.0,,,2,0,0,0
2020-01-21,中国,CN,山西省,140000.0,,,0,1,0,0
2020-01-21,中国,CN,吉林省,220000.0,,,0,1,0,0
2020-01-21,中国,CN,黑龙江省,230000.0,,,0,1,0,0
2020-01-21,中国,CN,上海市,310000.0,,,6,3,0,0
