id,code,name,series,provinces,isTreatingNumClear,updateTime,confirmedTotal,suspectedTotal,curesTotal,deathsTotal,treatingTotal
ITA,1380000,意大利,,,False,1584408637,27980,0,2749,2158,23073
IRN,1364000,伊朗,,,False,1584408637,14991,0,4996,853,9142
ESP,1724000,西班牙,,,False,1584408637,9942,0,571,342,9029
KOR,1410000,韩国,,,False,1584408637,8320,0,1401,81,6838
DEU,1276000,德国,,,False,1584408637,7272,0,67,17,7188
FRA,1250000,法国,,,False,1584408637,6650,0,12,148,6490
USA,1840000,美国,,,False,1584408637,4629,0,56,90,4483
CHE,1756000,瑞士,,,False,1584408637,2221,0,4,14,2203
GBR,1826000,英国,,,False,1584408637,1551,0,21,56,1474
NLD,1528000,荷兰,,,False,1584408637,1413,0,0,24,1389
NOR,1578000,挪威,,,False,1584408637,1333,0,1,3,1329
SWE,1752000,瑞典,,,False,1584408637,1103,0,1,6,1096
BEL,1056000,比利时,,,False,1584408637,1058,0,1,5,1052
AUT,1040000,奥地利,,,False,1584408637,1018,0,6,3,1009
DNK,1208000,丹麦,,,False,1584408637,916,0,1,3,912
JPN,1392000,日本,,,False,1584408637,835,0,157,28,650
AAA,1900000,钻石公主号邮轮,,,False,1584408637,712,0,458,7,247
MYS,1458000,马来西亚,,,False,1584408637,553,0,35,0,518
QAT,1634000,卡塔尔,,,False,1584408637,439,0,4,0,435
CAN,1124000,加拿大,,,False,1584408637,415,0,11,4,400
AUS,1036000,澳大利亚,,,False,1584408637,375,0,27,5,343
GRC,1300000,希腊,,,False,1584408637,352,0,10,4,338
ISR,1376000,以色列,,,False,1584408637,344,0,4,0,340
PRT,1620000,葡萄牙,,,False,1584408637,331,0,0,0,331
CZE,1203000,捷克,,,False,1584408637,298,0,0,0,298
SVN,1705000,斯洛文尼亚,,,False,1584408637,253,0,0,1,252
FIN,1246000,芬兰,,,False,1584408637,244,0,1,0,243
SGP,1702000,新加坡,,,False,1584408637,243,0,105,0,138
BHR,1048000,巴林,,,False,1584408637,227,0,77,1,149
EST,1233000,爱沙尼亚,,,False,1584408637,205,0,0,0,205
BRA,1076000,巴西,,,False,1584408637,203,0,1,0,202
ISL,1352000,冰岛,,,False,1584408637,180,0,1,0,179
IRL,1372000,爱尔兰,,,False,1584408637,169,0,0,2,167
ROU,1642000,罗马尼亚,,,False,1584408637,158,0,9,0,149
POL,1616000,波兰,,,False,1584408637,150,0,13,3,134
THA,1764000,泰国,,,False,1584408637,147,0,37,1,109
PHL,1608000,菲律宾,,,False,1584408637,142,0,2,12,128
PAK,1586000,巴基斯坦,,,False,1584408637,137,0,3,0,134
IDN,1360000,印度尼西亚,,,False,1584408637,134,0,5,4,125
IRQ,1368000,伊拉克,,,False,1584408637,133,0,32,10,91
EGY,1818000,埃及,,,False,1584408637,126,0,26,2,98
SAU,1682000,沙特阿拉伯,,,False,1584408637,118,0,3,0,115
IND,1356000,印度,,,False,1584408637,117,0,13,2,102
KWT,1414000,科威特,,,False,1584408637,112,0,9,0,103
LBN,1422000,黎巴嫩,,,False,1584408637,110,0,1,3,106
ARE,1784000,阿联酋,,,False,1584408637,98,0,26,0,72
SMR,1674000,圣马力诺,,,False,1584408637,98,0,2,7,89
RUS,1643000,俄罗斯,,,False,1584408637,93,0,8,0,85
LUX,1442000,卢森堡,,,False,1584408637,81,0,0,1,80
CHL,1152000,智利,,,False,1584408637,75,0,0,0,75
PER,1604000,秘鲁,,,False,1584408637,71,0,0,0,71
ZAF,1710000,南非,,,False,1584408637,62,0,1,0,61
SVK,1703000,斯洛伐克,,,False,1584408637,61,0,0,0,61
VNM,1704000,越南,,,False,1584408637,60,0,16,0,44
HRV,1191000,克罗地亚,,,False,1584408637,57,0,4,0,53
SRB,1688000,塞尔维亚,,,False,1584408637,55,0,0,0,55
DZA,1012000,阿尔及利亚,,,False,1584408637,54,0,12,4,38
MEX,1484000,墨西哥,,,False,1584408637,53,0,4,1,48
BGR,1100000,保加利亚,,,False,1584408637,51,0,0,2,49
BRN,1096000,文莱,,,False,1584408637,50,0,0,0,50
TUR,1792000,土耳其,,,False,1584408637,47,0,0,0,47
ARG,1032000,阿根廷,,,False,1584408637,45,0,1,2,42
PAN,1591000,巴拿马,,,False,1584408637,43,0,0,1,42
ALB,1008000,阿尔巴尼亚,,,False,1584408637,42,0,0,1,41
PSE,1275000,巴勒斯坦,,,False,1584408637,38,0,0,0,38
CRI,1188000,哥斯达黎加,,,False,1584408637,35,0,0,0,35
COL,1170000,哥伦比亚,,,False,1584408637,34,0,0,0,34
GEO,1268000,格鲁吉亚,,,False,1584408637,33,0,1,0,32
HUN,1348000,匈牙利,,,False,1584408637,32,0,1,1,30
LVA,1428000,拉脱维亚,,,False,1584408637,30,0,1,0,29
ARM,1051000,亚美尼亚,,,False,1584408637,28,0,0,0,28
MAR,1504000,摩洛哥,,,False,1584408637,28,0,1,1,26
ECU,1218000,厄瓜多尔,,,False,1584408637,28,0,0,2,26
BLR,1112000,白俄罗斯,,,False,1584408637,27,0,3,0,24
SEN,1686000,塞内加尔,,,False,1584408637,27,0,2,0,25
CYP,1196000,塞浦路斯,,,False,1584408637,26,0,0,0,26
AZE,1031000,阿塞拜疆,,,False,1584408637,25,0,6,1,18
OMN,1512000,阿曼,,,False,1584408637,24,0,9,0,15
BIH,1070000,波黑,,,False,1584408637,24,0,0,0,24
MDA,1498000,摩尔多瓦,,,False,1584408637,23,0,0,0,23
LKA,1144000,斯里兰卡,,,False,1584408637,23,0,1,0,22
MLT,1470000,马耳他,,,False,1584408637,21,0,1,0,20
AFG,1004000,阿富汗,,,False,1584408637,21,0,0,0,21
JOR,1400000,约旦,,,False,1584408637,20,0,1,0,19
TUN,1788000,突尼斯,,,False,1584408637,20,0,0,0,20
MKD,1807000,北马其顿,,,False,1584408637,18,0,0,0,18
VEN,1862000,委内瑞拉,,,False,1584408637,17,0,0,0,17
AND,1020000,安道尔,,,False,1584408637,15,0,1,0,14
BFA,1854000,布基纳法索,,,False,1584408637,15,0,0,0,15
MDV,1462000,马尔代夫,,,False,1584408637,13,0,0,0,13
LTU,1440000,立陶宛,,,False,1584408637,12,0,0,0,12
KHM,1116000,柬埔寨,,,False,1584408637,12,0,1,0,11
