id,name,cities,series,updateDate,isTreatingNumClear,confirmedTotal,suspectedTotal,curesTotal,deathsTotal,treatingTotal
364007,德黑兰,,"[{'date': '2020-03-21', 'confirmedNum': 4849, 'curesNum': 0, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 4849, 'confirmedIncr': 0}, {'date': '2020-03-20', 'confirmedNum': 4617, 'curesNum': 0, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 4617, 'confirmedIncr': 0}]",2020-03-21,False,4849,,0,0,4849
364004,伊斯法罕,,"[{'date': '2020-03-21', 'confirmedNum': 1892, 'curesNum': 0, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1892, 'confirmedIncr': 0}, {'date': '2020-03-20', 'confirmedNum': 1791, 'curesNum': 0, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1791, 'confirmedIncr': 0}]",2020-03-21,False,1892,,0,0,1892
364021,马赞德兰,,"[{'date': '2020-03-21', 'confirmedNum': 1664, 'curesNum': 0, 'deathsNum': 1, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1663, 'confirmedIncr': 0}, {'date': '2020-03-20', 'confirmedNum': 1636, 'curesNum': 0, 'deathsNum': 1, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1635, 'confirmedIncr': 0}]",2020-03-21,False,1664,,0,1,1663
364026,库姆,,"[{'date': '2020-03-21', 'confirmedNum': 1161, 'curesNum': 49, 'deathsNum': 2, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1110, 'confirmedIncr': 0}, {'date': '2020-03-20', 'confirmedNum': 1141, 'curesNum': 49, 'deathsNum': 2, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1090, 'confirmedIncr': 0}]",2020-03-21,False,1161,,49,2,1110
364019,吉兰,,"[{'date': '2020-03-21', 'confirmedNum': 1153, 'curesNum': 0, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1153, 'confirmedIncr': 0}, {'date': '2020-03-20', 'confirmedNum': 1096, 'curesNum': 0, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1096, 'confirmedIncr': 0}]",2020-03-21,False,1153,,0,0,1153
364032,厄尔布尔士,,"[{'date': '2020-03-21', 'confirmedNum': 1117, 'curesNum': 0, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1117, 'confirmedIncr': 0}, {'date': '2020-03-20', 'confirmedNum': 1062, 'curesNum': 0, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1062, 'confirmedIncr': 0}]",2020-03-21,False,1117,,0,0,1117
364022,中央省,,"[{'date': '2020-03-21', 'confirmedNum': 846, 'curesNum': 0, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 846, 'confirmedIncr': 0}, {'date': '2020-03-20', 'confirmedNum': 846, 'curesNum': 0, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 846, 'confirmedIncr': 0}]",2020-03-21,False,846,,0,0,846
364030,呼罗珊,,"[{'date': '2020-03-21', 'confirmedNum': 816, 'curesNum': 0, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 816, 'confirmedIncr': 0}, {'date': '2020-03-20', 'confirmedNum': 759, 'curesNum': 0, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 759, 'confirmedIncr': 0}]",2020-03-21,False,816,,0,0,816
364001,东阿塞拜疆,,"[{'date': '2020-03-21', 'confirmedNum': 756, 'curesNum': 0, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 756, 'confirmedIncr': 0}, {'date': '2020-03-20', 'confirmedNum': 684, 'curesNum': 0, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 684, 'confirmedIncr': 0}]",2020-03-21,False,756,,0,0,756
364012,塞姆南,,"[{'date': '2020-03-21', 'confirmedNum': 645, 'curesNum': 0, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 645, 'confirmedIncr': 0}, {'date': '2020-03-20', 'confirmedNum': 645, 'curesNum': 0, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 645, 'confirmedIncr': 0}]",2020-03-21,False,645,,0,0,645
