id,name,cities,series,updateDate,isTreatingNumClear,confirmedTotal,suspectedTotal,curesTotal,deathsTotal,treatingTotal
2760BY,巴伐利亚,,"[{'date': '2020-04-25', 'confirmedNum': 41609, 'curesNum': 28511, 'deathsNum': 1717, 'curesRatio': 0.6852123, 'deathsRatio': 0.04126511, 'treatingNum': 11381, 'confirmedIncr': 369, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-24', 'confirmedNum': 41240, 'curesNum': 27906, 'deathsNum': 1703, 'curesRatio': 0.6766731, 'deathsRatio': 0.041294858, 'treatingNum': 11631, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-25,False,41609,,28511,1717,11381
2760NW,北莱茵-威斯特法伦,,"[{'date': '2020-04-25', 'confirmedNum': 31979, 'curesNum': 27020, 'deathsNum': 1126, 'curesRatio': 0.84492946, 'deathsRatio': 0.035210606, 'treatingNum': 3833, 'confirmedIncr': 297, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-24', 'confirmedNum': 31682, 'curesNum': 26452, 'deathsNum': 1117, 'curesRatio': 0.834922, 'deathsRatio': 0.035256613, 'treatingNum': 4113, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-25,False,31979,,27020,1126,3833
2760BW,巴登-符腾堡,,"[{'date': '2020-04-25', 'confirmedNum': 31925, 'curesNum': 21406, 'deathsNum': 1291, 'curesRatio': 0.670509, 'deathsRatio': 0.04043853, 'treatingNum': 9228, 'confirmedIncr': 288, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-24', 'confirmedNum': 31637, 'curesNum': 20962, 'deathsNum': 1270, 'curesRatio': 0.66257864, 'deathsRatio': 0.04014287, 'treatingNum': 9405, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-25,False,31925,,21406,1291,9228
2760NI,下萨克森,,"[{'date': '2020-04-25', 'confirmedNum': 10113, 'curesNum': 7766, 'deathsNum': 414, 'curesRatio': 0.76792246, 'deathsRatio': 0.04093741, 'treatingNum': 1933, 'confirmedIncr': 93, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-24', 'confirmedNum': 10020, 'curesNum': 7602, 'deathsNum': 410, 'curesRatio': 0.7586826, 'deathsRatio': 0.040918164, 'treatingNum': 2008, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-25,False,10113,,7766,414,1933
2760HE,黑森,,"[{'date': '2020-04-25', 'confirmedNum': 7933, 'curesNum': 6331, 'deathsNum': 329, 'curesRatio': 0.79805875, 'deathsRatio': 0.04147233, 'treatingNum': 1273, 'confirmedIncr': 86, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-24', 'confirmedNum': 7847, 'curesNum': 6212, 'deathsNum': 312, 'curesRatio': 0.7916401, 'deathsRatio': 0.03976042, 'treatingNum': 1323, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-25,False,7933,,6331,329,1273
2760RP,莱茵兰-普法尔茨,,"[{'date': '2020-04-25', 'confirmedNum': 5988, 'curesNum': 4897, 'deathsNum': 151, 'curesRatio': 0.81780225, 'deathsRatio': 0.025217101, 'treatingNum': 940, 'confirmedIncr': 46, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-24', 'confirmedNum': 5942, 'curesNum': 4797, 'deathsNum': 147, 'curesRatio': 0.80730397, 'deathsRatio': 0.024739144, 'treatingNum': 998, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-25,False,5988,,4897,151,940
2760BE,柏林,,"[{'date': '2020-04-25', 'confirmedNum': 5607, 'curesNum': 4259, 'deathsNum': 123, 'curesRatio': 0.7595862, 'deathsRatio': 0.021936866, 'treatingNum': 1225, 'confirmedIncr': 75, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-24', 'confirmedNum': 5532, 'curesNum': 4179, 'deathsNum': 113, 'curesRatio': 0.755423, 'deathsRatio': 0.020426609, 'treatingNum': 1240, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-25,False,5607,,4259,123,1225
2760HH,汉堡,,"[{'date': '2020-04-25', 'confirmedNum': 4589, 'curesNum': 3981, 'deathsNum': 139, 'curesRatio': 0.86750925, 'deathsRatio': 0.030289823, 'treatingNum': 469, 'confirmedIncr': 31, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-24', 'confirmedNum': 4558, 'curesNum': 3914, 'deathsNum': 122, 'curesRatio': 0.85870993, 'deathsRatio': 0.026766125, 'treatingNum': 522, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-25,False,4589,,3981,139,469
2760SN,萨克森,,"[{'date': '2020-04-25', 'confirmedNum': 4539, 'curesNum': 3745, 'deathsNum': 148, 'curesRatio': 0.8250716, 'deathsRatio': 0.0326063, 'treatingNum': 646, 'confirmedIncr': 29, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-24', 'confirmedNum': 4510, 'curesNum': 3668, 'deathsNum': 146, 'curesRatio': 0.81330377, 'deathsRatio': 0.032372504, 'treatingNum': 696, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-25,False,4539,,3745,148,646
2760BB,勃兰登堡,,"[{'date': '2020-04-25', 'confirmedNum': 2769, 'curesNum': 2183, 'deathsNum': 129, 'curesRatio': 0.78837126, 'deathsRatio': 0.046587214, 'treatingNum': 457, 'confirmedIncr': 62, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-24', 'confirmedNum': 2707, 'curesNum': 2139, 'deathsNum': 125, 'curesRatio': 0.79017365, 'deathsRatio': 0.04617658, 'treatingNum': 443, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-25,False,2769,,2183,129,457
2760SH,石勒苏益格-荷尔斯泰因,,"[{'date': '2020-04-25', 'confirmedNum': 2627, 'curesNum': 2155, 'deathsNum': 100, 'curesRatio': 0.82032734, 'deathsRatio': 0.038066234, 'treatingNum': 372, 'confirmedIncr': 18, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-24', 'confirmedNum': 2609, 'curesNum': 2109, 'deathsNum': 100, 'curesRatio': 0.8083557, 'deathsRatio': 0.03832886, 'treatingNum': 400, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-25,False,2627,,2155,100,372
2760SL,萨尔,,"[{'date': '2020-04-25', 'confirmedNum': 2499, 'curesNum': 2190, 'deathsNum': 122, 'curesRatio': 0.8763505, 'deathsRatio': 0.048819527, 'treatingNum': 187, 'confirmedIncr': 19, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-24', 'confirmedNum': 2480, 'curesNum': 2142, 'deathsNum': 122, 'curesRatio': 0.8637097, 'deathsRatio': 0.04919355, 'treatingNum': 216, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-25,False,2499,,2190,122,187
2760TH,图林根,,"[{'date': '2020-04-25', 'confirmedNum': 2099, 'curesNum': 1492, 'deathsNum': 75, 'curesRatio': 0.71081465, 'deathsRatio': 0.0357313, 'treatingNum': 532, 'confirmedIncr': 26, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-24', 'confirmedNum': 2073, 'curesNum': 1464, 'deathsNum': 71, 'curesRatio': 0.7062229, 'deathsRatio': 0.03424988, 'treatingNum': 538, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-25,False,2099,,1492,75,532
2760ST,萨克森-安哈尔特,,"[{'date': '2020-04-25', 'confirmedNum': 1510, 'curesNum': 1202, 'deathsNum': 38, 'curesRatio': 0.79602647, 'deathsRatio': 0.025165563, 'treatingNum': 270, 'confirmedIncr': 17, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-24', 'confirmedNum': 1493, 'curesNum': 1177, 'deathsNum': 37, 'curesRatio': 0.78834563, 'deathsRatio': 0.024782317, 'treatingNum': 279, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-25,False,1510,,1202,38,270
2760HB,不来梅,,"[{'date': '2020-04-25', 'confirmedNum': 740, 'curesNum': 383, 'deathsNum': 27, 'curesRatio': 0.5175676, 'deathsRatio': 0.036486488, 'treatingNum': 330, 'confirmedIncr': 18, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-24', 'confirmedNum': 722, 'curesNum': 374, 'deathsNum': 27, 'curesRatio': 0.51800555, 'deathsRatio': 0.03739612, 'treatingNum': 321, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-25,False,740,,383,27,330
