id,name,cities,series,updateDate,isTreatingNumClear,confirmedTotal,suspectedTotal,curesTotal,deathsTotal,treatingTotal
250IDF,法兰西岛,,"[{'date': '2020-04-06', 'confirmedNum': 19714, 'curesNum': 5597, 'deathsNum': 2355, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 11762, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-05', 'confirmedNum': 18747, 'curesNum': 5166, 'deathsNum': 2107, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 11474, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-06,False,19714,,5597,2355,11762
250GES,大东部,,"[{'date': '2020-04-06', 'confirmedNum': 9490, 'curesNum': 3115, 'deathsNum': 1574, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 4801, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-05', 'confirmedNum': 9163, 'curesNum': 2953, 'deathsNum': 1471, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 4739, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-06,False,9490,,3115,1574,4801
250ARA,奥弗涅-罗讷-阿尔卑斯,,"[{'date': '2020-04-06', 'confirmedNum': 5451, 'curesNum': 1866, 'deathsNum': 555, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 3030, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-05', 'confirmedNum': 5247, 'curesNum': 1756, 'deathsNum': 508, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 2983, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-06,False,5451,,1866,555,3030
250HDF,上法兰西,,"[{'date': '2020-04-06', 'confirmedNum': 4023, 'curesNum': 1219, 'deathsNum': 577, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 2227, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-05', 'confirmedNum': 3792, 'curesNum': 1153, 'deathsNum': 520, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 2119, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-06,False,4023,,1219,577,2227
250PAC,普罗旺斯-阿尔卑斯-蓝色海岸,,"[{'date': '2020-04-06', 'confirmedNum': 3441, 'curesNum': 1383, 'deathsNum': 231, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1827, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-05', 'confirmedNum': 3221, 'curesNum': 1304, 'deathsNum': 195, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1722, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-06,False,3441,,1383,231,1827
250BFC,勃艮第-弗朗什-孔泰,,"[{'date': '2020-04-06', 'confirmedNum': 2529, 'curesNum': 986, 'deathsNum': 367, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1176, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-05', 'confirmedNum': 2403, 'curesNum': 942, 'deathsNum': 341, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1120, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-06,False,2529,,986,367,1176
250OCC,奥克西塔尼,,"[{'date': '2020-04-06', 'confirmedNum': 2022, 'curesNum': 803, 'deathsNum': 172, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1047, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-05', 'confirmedNum': 1939, 'curesNum': 757, 'deathsNum': 158, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1024, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-06,False,2022,,803,172,1047
250NAQ,新阿基坦,,"[{'date': '2020-04-06', 'confirmedNum': 1531, 'curesNum': 610, 'deathsNum': 138, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 783, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-05', 'confirmedNum': 1461, 'curesNum': 579, 'deathsNum': 120, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 762, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-06,False,1531,,610,138,783
250BRE,布列塔尼,,"[{'date': '2020-04-06', 'confirmedNum': 1275, 'curesNum': 296, 'deathsNum': 88, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 891, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-05', 'confirmedNum': 784, 'curesNum': 280, 'deathsNum': 81, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 423, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-06,False,1275,,296,88,891
250PDL,卢瓦尔河地区,,"[{'date': '2020-04-06', 'confirmedNum': 1275, 'curesNum': 456, 'deathsNum': 134, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 685, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-05', 'confirmedNum': 1231, 'curesNum': 441, 'deathsNum': 123, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 667, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-06,False,1275,,456,134,685
250CVL,中央-卢瓦尔河谷,,"[{'date': '2020-04-06', 'confirmedNum': 1254, 'curesNum': 329, 'deathsNum': 132, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 793, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-05', 'confirmedNum': 1164, 'curesNum': 298, 'deathsNum': 115, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 751, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-06,False,1254,,329,132,793
250NOR,诺曼底,,"[{'date': '2020-04-06', 'confirmedNum': 1177, 'curesNum': 338, 'deathsNum': 127, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 712, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2020-04-05', 'confirmedNum': 1129, 'curesNum': 308, 'deathsNum': 111, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 710, 'confirmedIncr': 0, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2020-04-06,False,1177,,338,127,712
