id,name,cities,series,updateDate,isTreatingNumClear,confirmedTotal,suspectedTotal,curesTotal,deathsTotal,treatingTotal
8400NY,纽约州,,"[{'date': '2020-03-24', 'confirmedNum': 26374, 'curesNum': 0, 'deathsNum': 271, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 26103, 'confirmedIncr': 0}, {'date': '2020-03-23', 'confirmedNum': 20885, 'curesNum': 0, 'deathsNum': 158, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 20727, 'confirmedIncr': 0}]",2020-03-25,False,26374,,0,271,26103
8400NJ,新泽西州,,"[{'date': '2020-03-24', 'confirmedNum': 3675, 'curesNum': 1, 'deathsNum': 44, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 3630, 'confirmedIncr': 0}, {'date': '2020-03-23', 'confirmedNum': 2844, 'curesNum': 1, 'deathsNum': 27, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 2816, 'confirmedIncr': 0}]",2020-03-25,False,3675,,1,44,3630
8400CA,加利福尼亚州,,"[{'date': '2020-03-24', 'confirmedNum': 2539, 'curesNum': 6, 'deathsNum': 51, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 2482, 'confirmedIncr': 0}, {'date': '2020-03-23', 'confirmedNum': 2176, 'curesNum': 6, 'deathsNum': 40, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 2130, 'confirmedIncr': 0}]",2020-03-25,False,2539,,6,51,2482
8400WA,华盛顿州,,"[{'date': '2020-03-24', 'confirmedNum': 2469, 'curesNum': 1, 'deathsNum': 124, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 2344, 'confirmedIncr': 0}, {'date': '2020-03-23', 'confirmedNum': 2221, 'curesNum': 1, 'deathsNum': 111, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 2109, 'confirmedIncr': 0}]",2020-03-25,False,2469,,1,124,2344
8400MI,密歇根州,,"[{'date': '2020-03-24', 'confirmedNum': 1793, 'curesNum': 0, 'deathsNum': 24, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1769, 'confirmedIncr': 0}, {'date': '2020-03-23', 'confirmedNum': 1329, 'curesNum': 0, 'deathsNum': 15, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1314, 'confirmedIncr': 0}]",2020-03-25,False,1793,,0,24,1769
8400IL,伊利诺伊州,,"[{'date': '2020-03-24', 'confirmedNum': 1537, 'curesNum': 2, 'deathsNum': 16, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1519, 'confirmedIncr': 0}, {'date': '2020-03-23', 'confirmedNum': 1285, 'curesNum': 2, 'deathsNum': 12, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1271, 'confirmedIncr': 0}]",2020-03-25,False,1537,,2,16,1519
8400FL,佛罗里达州,,"[{'date': '2020-03-24', 'confirmedNum': 1467, 'curesNum': 0, 'deathsNum': 23, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1444, 'confirmedIncr': 0}, {'date': '2020-03-23', 'confirmedNum': 1227, 'curesNum': 0, 'deathsNum': 18, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1209, 'confirmedIncr': 0}]",2020-03-25,False,1467,,0,23,1444
8400LA,路易斯安那州,,"[{'date': '2020-03-24', 'confirmedNum': 1388, 'curesNum': 0, 'deathsNum': 46, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1342, 'confirmedIncr': 0}, {'date': '2020-03-23', 'confirmedNum': 1172, 'curesNum': 0, 'deathsNum': 35, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1137, 'confirmedIncr': 0}]",2020-03-25,False,1388,,0,46,1342
8400MA,马萨诸塞州,,"[{'date': '2020-03-24', 'confirmedNum': 1159, 'curesNum': 1, 'deathsNum': 11, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1147, 'confirmedIncr': 0}, {'date': '2020-03-23', 'confirmedNum': 777, 'curesNum': 1, 'deathsNum': 9, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 767, 'confirmedIncr': 0}]",2020-03-25,False,1159,,1,11,1147
8400GA,佐治亚州,,"[{'date': '2020-03-24', 'confirmedNum': 1091, 'curesNum': 0, 'deathsNum': 38, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 1053, 'confirmedIncr': 0}, {'date': '2020-03-23', 'confirmedNum': 803, 'curesNum': 0, 'deathsNum': 26, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 777, 'confirmedIncr': 0}]",2020-03-25,False,1091,,0,38,1053
