id,name,cities,series,updateDate,isTreatingNumClear,confirmedTotal,suspectedTotal,curesTotal,deathsTotal,treatingTotal
7240MD,马德里,,"[{'date': '2021-01-21', 'confirmedNum': 477031, 'curesNum': 40736, 'deathsNum': 12210, 'curesRatio': 0.08539487, 'deathsRatio': 0.025595821, 'treatingNum': 424085, 'confirmedIncr': 7097, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2021-01-20', 'confirmedNum': 469934, 'curesNum': 40736, 'deathsNum': 12149, 'curesRatio': 0.08668451, 'deathsRatio': 0.025852567, 'treatingNum': 417049, 'confirmedIncr': 6218, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2021-01-21,False,477031,,40736,12210,424085
7240CT,加泰罗尼亚,,"[{'date': '2021-01-21', 'confirmedNum': 456108, 'curesNum': 26203, 'deathsNum': 9185, 'curesRatio': 0.057449114, 'deathsRatio': 0.020137774, 'treatingNum': 420720, 'confirmedIncr': 5917, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2021-01-20', 'confirmedNum': 450191, 'curesNum': 26203, 'deathsNum': 9159, 'curesRatio': 0.058204185, 'deathsRatio': 0.020344699, 'treatingNum': 414829, 'confirmedIncr': 5861, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2021-01-21,False,456108,,26203,9185,420720
7240AN,安达卢西亚,,"[{'date': '2021-01-21', 'confirmedNum': 340991, 'curesNum': 10671, 'deathsNum': 5720, 'curesRatio': 0.03129408, 'deathsRatio': 0.016774636, 'treatingNum': 324600, 'confirmedIncr': 7549, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2021-01-20', 'confirmedNum': 333442, 'curesNum': 10671, 'deathsNum': 5664, 'curesRatio': 0.03200257, 'deathsRatio': 0.016986463, 'treatingNum': 317107, 'confirmedIncr': 6027, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2021-01-21,False,340991,,10671,5720,324600
7240VC,瓦伦西亚,,"[{'date': '2021-01-21', 'confirmedNum': 236657, 'curesNum': 9970, 'deathsNum': 3914, 'curesRatio': 0.04212848, 'deathsRatio': 0.016538704, 'treatingNum': 222773, 'confirmedIncr': 8452, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2021-01-20', 'confirmedNum': 228205, 'curesNum': 9970, 'deathsNum': 3803, 'curesRatio': 0.04368879, 'deathsRatio': 0.01666484, 'treatingNum': 214432, 'confirmedIncr': 9805, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2021-01-21,False,236657,,9970,3914,222773
7240CL,卡斯蒂利亚-莱昂,,"[{'date': '2021-01-21', 'confirmedNum': 164560, 'curesNum': 8716, 'deathsNum': 5419, 'curesRatio': 0.052965485, 'deathsRatio': 0.03293024, 'treatingNum': 150425, 'confirmedIncr': 2970, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2021-01-20', 'confirmedNum': 161590, 'curesNum': 8716, 'deathsNum': 5408, 'curesRatio': 0.05393898, 'deathsRatio': 0.033467416, 'treatingNum': 147466, 'confirmedIncr': 2983, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2021-01-21,False,164560,,8716,5419,150425
7240CM,卡斯蒂利亚-拉曼恰,,"[{'date': '2021-01-21', 'confirmedNum': 132362, 'curesNum': 6392, 'deathsNum': 4256, 'curesRatio': 0.048291806, 'deathsRatio': 0.032154243, 'treatingNum': 121714, 'confirmedIncr': 2771, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2021-01-20', 'confirmedNum': 129591, 'curesNum': 6392, 'deathsNum': 4223, 'curesRatio': 0.049324412, 'deathsRatio': 0.03258714, 'treatingNum': 118976, 'confirmedIncr': 2050, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2021-01-21,False,132362,,6392,4256,121714
7240PV,巴斯克,,"[{'date': '2021-01-21', 'confirmedNum': 124226, 'curesNum': 16160, 'deathsNum': 3194, 'curesRatio': 0.13008548, 'deathsRatio': 0.025711203, 'treatingNum': 104872, 'confirmedIncr': 1252, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2021-01-20', 'confirmedNum': 122974, 'curesNum': 16160, 'deathsNum': 3180, 'curesRatio': 0.1314099, 'deathsRatio': 0.025859125, 'treatingNum': 103634, 'confirmedIncr': 882, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2021-01-21,False,124226,,16160,3194,104872
7240AR,阿拉贡,,"[{'date': '2021-01-21', 'confirmedNum': 91191, 'curesNum': 3772, 'deathsNum': 2808, 'curesRatio': 0.04136373, 'deathsRatio': 0.030792512, 'treatingNum': 84611, 'confirmedIncr': 785, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2021-01-20', 'confirmedNum': 90406, 'curesNum': 3772, 'deathsNum': 2795, 'curesRatio': 0.041722894, 'deathsRatio': 0.03091609, 'treatingNum': 83839, 'confirmedIncr': 836, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2021-01-21,False,91191,,3772,2808,84611
7240MC,穆尔西亚,,"[{'date': '2021-01-21', 'confirmedNum': 84318, 'curesNum': 2180, 'deathsNum': 872, 'curesRatio': 0.025854504, 'deathsRatio': 0.010341802, 'treatingNum': 81266, 'confirmedIncr': 2075, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2021-01-20', 'confirmedNum': 82243, 'curesNum': 2180, 'deathsNum': 852, 'curesRatio': 0.026506815, 'deathsRatio': 0.010359544, 'treatingNum': 79211, 'confirmedIncr': 2001, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2021-01-21,False,84318,,2180,872,81266
7240GA,加利西亚,,"[{'date': '2021-01-21', 'confirmedNum': 80627, 'curesNum': 9204, 'deathsNum': 1585, 'curesRatio': 0.11415531, 'deathsRatio': 0.019658428, 'treatingNum': 69838, 'confirmedIncr': 1951, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}, {'date': '2021-01-20', 'confirmedNum': 78676, 'curesNum': 9204, 'deathsNum': 1562, 'curesRatio': 0.11698612, 'deathsRatio': 0.019853577, 'treatingNum': 67910, 'confirmedIncr': 1444, 'asymptomaticNum': 0, 'asymptomaticIncr': 0}]",2021-01-21,False,80627,,9204,1585,69838
