id,name,cities,series,updateDate,isTreatingNumClear,confirmedTotal,suspectedTotal,curesTotal,deathsTotal,treatingTotal
410027,大邱,,"[{'date': '2020-03-26', 'confirmedNum': 6516, 'curesNum': 3324, 'deathsNum': 98, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 3094, 'confirmedIncr': 0}, {'date': '2020-03-25', 'confirmedNum': 6482, 'curesNum': 3039, 'deathsNum': 94, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 3349, 'confirmedIncr': 0}]",2020-03-27,False,6516,,3324,98,3094
410047,庆尚北道,,"[{'date': '2020-03-26', 'confirmedNum': 1283, 'curesNum': 650, 'deathsNum': 34, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 599, 'confirmedIncr': 0}, {'date': '2020-03-25', 'confirmedNum': 1274, 'curesNum': 601, 'deathsNum': 30, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 643, 'confirmedIncr': 0}]",2020-03-27,False,1283,,650,34,599
410041,京畿道,,"[{'date': '2020-03-26', 'confirmedNum': 412, 'curesNum': 131, 'deathsNum': 4, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 277, 'confirmedIncr': 0}, {'date': '2020-03-25', 'confirmedNum': 401, 'curesNum': 122, 'deathsNum': 4, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 275, 'confirmedIncr': 0}]",2020-03-27,False,412,,131,4,277
410011,首尔,,"[{'date': '2020-03-26', 'confirmedNum': 372, 'curesNum': 89, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 283, 'confirmedIncr': 0}, {'date': '2020-03-25', 'confirmedNum': 360, 'curesNum': 80, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 280, 'confirmedIncr': 0}]",2020-03-27,False,372,,89,0,283
410044,忠清南道,,"[{'date': '2020-03-26', 'confirmedNum': 124, 'curesNum': 78, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 46, 'confirmedIncr': 0}, {'date': '2020-03-25', 'confirmedNum': 124, 'curesNum': 68, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 56, 'confirmedIncr': 0}]",2020-03-27,False,124,,78,0,46
410026,釜山,,"[{'date': '2020-03-26', 'confirmedNum': 113, 'curesNum': 81, 'deathsNum': 2, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 30, 'confirmedIncr': 0}, {'date': '2020-03-25', 'confirmedNum': 112, 'curesNum': 75, 'deathsNum': 2, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 35, 'confirmedIncr': 0}]",2020-03-27,False,113,,81,2,30
410048,庆尚南道,,"[{'date': '2020-03-26', 'confirmedNum': 91, 'curesNum': 62, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 29, 'confirmedIncr': 0}, {'date': '2020-03-25', 'confirmedNum': 90, 'curesNum': 57, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 33, 'confirmedIncr': 0}]",2020-03-27,False,91,,62,0,29
410028,仁川,,"[{'date': '2020-03-26', 'confirmedNum': 46, 'curesNum': 13, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 33, 'confirmedIncr': 0}, {'date': '2020-03-25', 'confirmedNum': 43, 'curesNum': 11, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 32, 'confirmedIncr': 0}]",2020-03-27,False,46,,13,0,33
410050,世宗,,"[{'date': '2020-03-26', 'confirmedNum': 44, 'curesNum': 9, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 35, 'confirmedIncr': 0}, {'date': '2020-03-25', 'confirmedNum': 44, 'curesNum': 8, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 36, 'confirmedIncr': 0}]",2020-03-27,False,44,,9,0,35
410043,忠清北道,,"[{'date': '2020-03-26', 'confirmedNum': 41, 'curesNum': 17, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 24, 'confirmedIncr': 0}, {'date': '2020-03-25', 'confirmedNum': 39, 'curesNum': 14, 'deathsNum': 0, 'curesRatio': 0, 'deathsRatio': 0, 'treatingNum': 25, 'confirmedIncr': 0}]",2020-03-27,False,41,,17,0,24
